id,price,brand,model,year,mileage,country
133,5690,dodge,mpv,2018,47085, usa
134,25900,chrysler,van,2017,32224, usa
135,24005,chevrolet,1500,2017,51293, usa
136,5090,dodge,mpv,2018,42989, usa
137,19500,chrysler,300,2017,31311, usa
138,32012,chevrolet,1500,2017,46091, usa
139,6800,dodge,dart,2016,49033, usa
140,4260,dodge,mpv,2018,33957, usa
141,0,dodge,van,2008,177948, usa
142,31802,chevrolet,2500,2017,19845, usa
143,7210,dodge,doors,2018,38910, usa
144,0,dodge,door,2014,123660, usa
145,28402,chevrolet,1500,2017,31234, usa
146,6800,dodge,doors,2018,36767, usa
147,33300,cadillac,esv,2015,57932, usa
148,10780,dodge,mpv,2018,19420, usa
149,6700,ford,cutaway,2014,204155, usa
150,20000,chevrolet,1500,2016,93493, usa
